ticker:longitude:latitude
3036:121.4854958:24.9981631
1615:120.5278363:23.7179188
8046:121.2826428:25.0553741
3376:121.4263043:25.0075733
6703:121.5444173:25.058795
1451:120.7990371:24.6262171
2467:121.402855:25.0783
3287:121.4867869:25.0039348
4903:120.9862974:24.7778211
8034:121.007951:24.7720307
8011:121.4534863:25.0615129
8222:120.28318:23.30631
1808:121.5337885:24.9583574
6215:121.5723392:25.0793383
8098:120.2849672:23.1022115
7725:121.5230625:25.0849956
7719:120.5920609:24.1758159
3008:120.6042492:24.1473235
4163:120.6034866:24.1465853
7713:120.3147162:22.6431066
7631:120.9632748:24.7980849
6980:121.645707:25.061104
6973:121.6486619:25.0620313
3467:121.0958147:24.8880716
1295:120.2749234:22.8272444
6904:120.6722394:24.2527792
6937:121.0272551:24.8091652
6916:120.6285624:24.225735
6742:120.8817259:24.7097307
2358:120.2261641:22.9253702
2509:121.5835167:25.0645815
3049:121.5785641:25.0592562
6116:121.5788472:25.0589237
3049:121.578746:25.0591154
3490:121.4299274:24.9679225
4916:121.2393937:24.9816716
4578:120.5096662:24.2389388
1611:121.577272:25.058114
1609:121.4489678:25.0703027
8034:121.007951:24.7720307
6543:120.5499622:23.868483
4906:121.008987:24.8719188
2460:120.2708102:22.8531235
3447:121.4725936:25.0566705
2385:121.4726698:25.0564911
5443:121.0005955:24.7740141
6187:120.2626777:22.8412372
3581:120.9995368:24.8761487
4729:120.2592957:22.8361305
3013:121.5837788:25.0689787
1618:121.1219625:25.0627619
1727:121.121161:25.062475
2630:120.2169801:22.9493092
3090:121.5343093:24.9856357
2327:121.5519677:24.9793279
2492:121.1587564:24.9257403
3026:121.5742959:25.0854627
6173:121.1586073:24.9256976
8043:121.5692672:25.0815982
2486:121.454517:25.0631969
6980:121.645707:25.061104
1618:121.543644:25.04589
5230:121.4840226:25.0080749
1307:120.3352089:22.721594
1413:121.344375:25.010259
5222:120.2869044:23.1060087
1436:120.3473025:22.6437054
1451:121.5692058:25.0815067
1526:121.2601136:25.106888
1537:120.6636402:23.9307418
1540:120.672848:24.254612
1563:120.5180486:23.7260599
2241:121.3811853:25.0905085
6576:121.6128109:25.0565864
2543:121.5996077:25.0606962
6117:121.2878332:25.0719349
4909:121.0639579:24.9406809
5297:120.9873203:24.8669476
5356:121.1252079:25.0574674
5383:121.1981673:24.9006897
6515:121.017649:24.842417
6584:121.2991981:25.0284865
2537:121.5667909:25.0405444
4113:120.3064536:22.6634647
6922:121.4843328:25.0059035
1617:120.2547842:22.9783508
4768:120.891521:24.7041757
6637:121.578971:25.041154
6227:121.5401128:24.9848747
4545:121.1114919:25.059343
2316:120.3041153:22.7209306
6216:121.0052072:24.8689538
4153:121.4906014:25.003228
6560:121.4599921:25.0389269
3623:121.3786164:25.047982
4526:120.258903:22.8313257
8489:121.468381:25.0453675
6589:121.5778474:25.0649507
6021:121.5358359:25.0576534
5468:120.1372298:23.0413497
3713:121.5194075:25.0319251
8477:121.6132482:25.0565476
3276:121.270188:25.0624792
8277:121.5691325:25.0799875
6431:121.5364688:25.0545099
4529:121.5572479:25.0314607
6442:121.4595526:25.1565829
2482:121.4316452:24.9709913
8374:121.4451699:25.054681
6834:120.2945816:22.5939917
4924:121.5231087:25.0493766
4915:121.5656377:25.0809997
6640:121.4153529:24.9602303
6451:121.414236:24.961155
6890:120.6602853:24.2208561
3483:121.0084221:24.8405642
3374:121.2450967:24.9794781
4555:121.4221437:25.031137
5013:120.1788565:23.1838669
5310:121.5184792:25.0560686
6284:120.909717:24.726298
2468:121.5803403:25.0617056
6535:121.6119641:25.056818
1219:120.5585574:24.2312467
1227:121.5656613:25.0803702
2597:121.5425141:25.046942
3122:121.0186823:24.8420816
6164:121.5338662:24.9851673
1532:121.5477843:25.0383537
2906:121.549533:25.057112
4728:120.283993:23.0943294
5225:121.5502465:24.9778448
5493:120.2662495:22.8098619
8467:120.7119045:24.2295567
1220:121.535479:25.05172
1229:121.6114081:25.0550144
3706:121.6115636:25.0545407
1304:120.3376327:22.7139428
6005:121.5478204:25.0572371
2007:120.2740647:22.7709672
1308:120.4068083:22.501852
1324:121.538101:25.0522989
2227:120.7532793:24.3861642
2440:121.0098623:24.8454728
5014:121.191849:25.0656398
6585:120.3711247:22.5566787
3276:121.270188:25.0624792
2467:121.3725397:25.0734155
8050:121.4703447:25.0533649
4414:121.5442261:25.050593
1102:121.549306:25.025986
5907:121.543826:25.026013
2368:121.2365018:24.9848553
4584:120.2787157:23.035591
2436:121.0052562:24.7725734
3257:120.9996823:24.77932
3288:121.0014357:24.7836497
3317:121.633221:25.059877
3527:121.0078179:24.7928969
4951:121.0170381:24.8428815
4961:121.0230624:24.7703795
3018:121.5517819:25.0815243
2359:121.5783319:25.065289
2468:121.5803403:25.0617056
6790:121.5148865:25.0312909
6781:121.0793043:24.885071
6121:121.0790698:24.885658
4109:120.3424711:22.6364233
6117:121.3037813:25.0432589
6176:120.2925843:22.5998656
2881:121.5425872:25.0530796
4545:121.1114919:25.059343
3492:121.4597665:25.1548383
2451:121.5807797:25.0663865
2884:121.5500994:25.0592741
4207:121.2926285:25.0494816
6838:121.5442261:25.050593
6561:121.5820351:25.0707676
2471:121.5232795:25.0602754
5425:121.7331096:24.7809176
6446:121.6118825:25.0584861
8255:121.2802505:25.0577241
8476:120.3137297:22.630237
3227:121.0003867:24.7737793
2465:121.4876185:24.9978164
7402:121.5695849:25.0809084
8930:120.3227903:23.2063829
6231:121.5364839:25.0589274
2618:121.2971015:25.0401698
5706:121.524044:25.049407
2454:121.0232623:24.7722707
4966:121.5742472:25.0770618
4533:121.305695:25.044659
2615:121.5328126:25.0530349
2609:121.7109313:25.0944587
6270:121.645707:25.061104
2356:121.5216026:25.0853879
6269:120.4238436:22.5804045
6263:121.5367155:24.983014
5230:121.4840226:25.0080749
2365:121.4735059:25.0468105
3481:120.9146606:24.7144072
3024:121.2395253:24.9867597
2887:121.5498126:25.0373754
6902:121.5492911:25.0226258
5515:121.5493622:25.0307925
6414:121.486466:24.9997957
5215:121.4935058:24.9974679
